id,CS111_grade,CS111_points,CS111_termWork,CS111_examWork,CS111_result,CS112_grade,CS112_points,CS112_termWork,CS112_examWork,CS112_result,CS213_grade,CS213_points,CS213_termWork,CS213_examWork,CS213_result,CS214_grade,CS214_points,CS214_termWork,CS214_examWork,CS214_result,CS251_grade,CS251_points,CS251_termWork,CS251_examWork,CS251_result,DS211_grade,DS211_points,DS211_termWork,DS211_examWork,DS211_result,DS251_grade,DS251_points,DS251_termWork,DS251_examWork,DS251_result,HU111_grade,HU111_points,HU111_termWork,HU111_examWork,HU111_result,HU112_grade,HU112_points,HU112_termWork,HU112_examWork,HU112_result,HU113_grade,HU113_points,HU113_termWork,HU113_examWork,HU113_result,HU117_grade,HU117_points,HU117_termWork,HU117_examWork,HU117_result,HU118_grade,HU118_points,HU118_termWork,HU118_examWork,HU118_result,HU121_grade,HU121_points,HU121_termWork,HU121_examWork,HU121_result,HU124_grade,HU124_points,HU124_termWork,HU124_examWork,HU124_result,HU225_grade,HU225_points,HU225_termWork,HU225_examWork,HU225_result,IS211_grade,IS211_points,IS211_termWork,IS211_examWork,IS211_result,IS231_grade,IS231_points,IS231_termWork,IS231_examWork,IS231_result,IT111_grade,IT111_points,IT111_termWork,IT111_examWork,IT111_result,IT212_grade,IT212_points,IT212_termWork,IT212_examWork,IT212_result,IT221_grade,IT221_points,IT221_termWork,IT221_examWork,IT221_result,MA111_grade,MA111_points,MA111_termWork,MA111_examWork,MA111_result,MA112_grade,MA112_points,MA112_termWork,MA112_examWork,MA112_result,MA113_grade,MA113_points,MA113_termWork,MA113_examWork,MA113_result,MA214_grade,MA214_points,MA214_termWork,MA214_examWork,MA214_result,ST121_grade,ST121_points,ST121_termWork,ST121_examWork,ST121_result,ST222_grade,ST222_points,ST222_termWork,ST222_examWork,ST222_result,gpa,min_gpa,program
37,C,2.4,33.0,35.0,68.0,D,2.0,26.0,28.0,54.0,B,3.0,34.0,45.0,79.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B+,3.3,35.0,45.0,80.0,P,0.0,0.0,0.0,0.0,B,3.0,35.0,44.0,79.0,B,3.0,20.0,56.0,76.0,C+,2.7,25.0,46.0,71.0,A,3.7,37.0,50.0,87.0,,,,,,C+,2.7,24.0,46.0,70.0,B+,3.3,32.0,48.0,80.0,D+,2.2,1.0,60.0,61.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B,3.0,38.0,37.0,75.0,C,2.4,38.0,30.0,68.0,C,2.4,33.0,36.0,69.0,B,3.0,31.0,47.0,78.0,C,2.4,30.0,37.0,67.0,B,3.0,33.0,44.0,77.0,C,2.4,31.0,38.0,69.0,B,3.0,31.0,44.0,75.0,C+,2.7,26.0,45.0,71.0,3.0,2.7,Information Systems
38,D+,2.2,0.0,96.0,64.0,D+,2.2,26.0,34.0,60.0,D,2.0,17.0,35.0,52.0,C+,2.7,27.0,45.0,72.0,D,2.0,25.0,27.0,52.0,C,2.4,26.0,40.0,66.0,C,2.4,28.0,38.0,66.0,D,2.0,32.0,25.0,57.0,C,2.4,20.0,45.0,65.0,D,2.0,23.0,27.0,50.0,C,2.4,32.0,36.0,68.0,,,,,,D,2.0,30.0,20.0,50.0,D+,2.2,0.0,75.0,64.0,D+,2.2,36.0,26.0,62.0,D,2.0,32.0,23.0,55.0,B+,3.3,30.0,52.0,82.0,D,2.0,31.0,19.0,50.0,D,2.0,20.0,30.0,50.0,D+,2.2,24.0,52.0,64.0,D,2.0,29.0,25.0,54.0,P,0.0,0.0,0.0,0.0,D+,2.2,0.0,78.0,64.0,C+,2.7,32.0,42.0,74.0,D,2.0,0.0,50.0,50.0,D,2.0,30.0,25.0,55.0,2.31,1.6,Operation Research & Decision Support
39,B,3.0,35.0,41.0,76.0,B,3.0,36.0,42.0,78.0,A,3.7,39.0,48.0,87.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C,2.4,30.0,36.0,66.0,P,0.0,0.0,0.0,0.0,B,3.0,36.0,42.0,78.0,A+,4.0,36.0,56.0,92.0,D+,2.2,25.0,39.0,64.0,B,3.0,34.0,42.0,76.0,,,,,,B,3.0,39.0,40.0,79.0,A+,4.0,37.0,56.0,93.0,C,2.4,8.0,60.0,68.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C,2.4,37.0,31.0,68.0,C,2.4,40.0,25.0,65.0,C+,2.7,39.0,32.0,71.0,C+,2.7,36.0,34.0,70.0,C+,2.7,32.0,38.0,70.0,B,3.0,40.0,37.0,77.0,C+,2.7,40.0,31.0,71.0,B+,3.3,29.0,52.0,81.0,C+,2.7,28.0,45.0,73.0,2.93,2.7,Information Systems
40,C+,2.7,31.0,41.0,72.0,A,3.7,33.0,52.0,85.0,B+,3.3,38.0,43.0,81.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B,3.0,31.0,48.0,79.0,P,0.0,0.0,0.0,0.0,D+,2.2,31.0,29.0,60.0,B+,3.3,20.0,60.0,80.0,C,2.4,29.0,37.0,66.0,B+,3.3,36.0,45.0,81.0,,,,,,C+,2.7,24.0,50.0,74.0,A,3.7,34.0,51.0,85.0,D+,2.2,0.0,60.0,60.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C,2.4,37.0,31.0,68.0,B+,3.3,40.0,41.0,81.0,D+,2.2,29.0,32.0,61.0,B+,3.3,37.0,46.0,83.0,B+,3.3,39.0,44.0,83.0,A,3.7,40.0,45.0,85.0,A+,4.0,40.0,50.0,90.0,A+,4.0,40.0,55.0,95.0,D+,2.2,26.0,35.0,61.0,3.09,2.56,Computer Science
41,D+,2.2,31.0,33.0,64.0,D,2.0,26.0,24.0,50.0,D+,2.2,27.0,33.0,60.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C+,2.7,31.0,42.0,73.0,P,0.0,0.0,0.0,0.0,C,2.4,36.0,32.0,68.0,B+,3.3,26.0,57.0,83.0,C,2.4,24.0,42.0,66.0,A,3.7,38.0,47.0,85.0,,,,,,B+,3.3,34.0,48.0,82.0,A,3.7,35.0,53.0,88.0,D,2.0,0.0,58.0,58.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C,2.4,39.0,29.0,68.0,D+,2.2,0.0,82.0,64.0,D,2.0,34.0,22.0,56.0,B+,3.3,37.0,44.0,81.0,B,3.0,32.0,46.0,78.0,A+,4.0,40.0,53.0,93.0,C,2.4,34.0,35.0,69.0,B,3.0,35.0,44.0,79.0,D,2.0,26.0,32.0,58.0,2.84,2.7,Information Systems
42,D,2.0,28.0,31.0,59.0,D+,2.2,24.0,40.0,64.0,C,2.4,28.0,37.0,65.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C+,2.7,32.0,38.0,70.0,P,0.0,0.0,0.0,0.0,D,2.0,20.0,36.0,56.0,A,3.7,28.0,59.0,87.0,D+,2.2,19.0,41.0,60.0,A+,4.0,36.0,54.0,90.0,,,,,,D+,2.2,18.0,44.0,62.0,A+,4.0,37.0,55.0,92.0,B,3.0,17.0,60.0,77.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C,2.4,34.0,32.0,66.0,D,2.0,37.0,19.0,56.0,D,2.0,28.0,26.0,54.0,B+,3.3,33.0,47.0,80.0,D+,2.2,30.0,31.0,61.0,C+,2.7,31.0,42.0,73.0,C,2.4,30.0,38.0,68.0,C+,2.7,23.0,50.0,73.0,D+,2.2,30.0,33.0,63.0,2.77,1.51,Information Technology
44,B,3.0,33.0,43.0,76.0,D,2.0,21.0,31.0,52.0,C+,2.7,29.0,45.0,74.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B+,3.3,35.0,49.0,84.0,P,0.0,0.0,0.0,0.0,D+,2.2,29.0,34.0,63.0,C+,2.7,20.0,53.0,73.0,C+,2.7,31.0,42.0,73.0,A,3.7,34.0,53.0,87.0,,,,,,B+,3.3,39.0,42.0,81.0,A+,4.0,37.0,55.0,92.0,D,2.0,0.0,56.0,56.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C+,2.7,38.0,36.0,74.0,A,3.7,40.0,49.0,89.0,C+,2.7,38.0,35.0,73.0,A+,4.0,39.0,53.0,92.0,C+,2.7,36.0,38.0,74.0,B,3.0,32.0,46.0,78.0,A+,4.0,40.0,59.0,99.0,C,2.4,33.0,34.0,67.0,C+,2.7,27.0,47.0,74.0,2.91,2.7,Information Systems
45,D,2.0,31.0,27.0,58.0,D,2.0,24.0,35.0,59.0,A,3.7,40.0,46.0,86.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B,3.0,37.0,41.0,78.0,P,0.0,0.0,0.0,0.0,D+,2.2,33.0,31.0,64.0,A,3.7,26.0,59.0,85.0,D+,2.2,21.0,42.0,63.0,A,3.7,35.0,51.0,86.0,,,,,,D+,2.2,26.0,38.0,64.0,A+,4.0,38.0,57.0,95.0,B,3.0,17.0,60.0,77.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C,2.4,38.0,30.0,68.0,D+,2.2,0.0,80.0,64.0,D,2.0,32.0,18.0,50.0,C+,2.7,26.0,47.0,73.0,C,2.4,33.0,34.0,67.0,D+,2.2,32.0,29.0,61.0,D+,2.2,30.0,34.0,64.0,D,2.0,23.0,28.0,51.0,B,3.0,31.0,47.0,78.0,2.92,2.39,Artificial Intelligence
47,D+,2.2,28.0,33.0,61.0,D,2.0,22.0,31.0,53.0,C+,2.7,36.0,35.0,71.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,D,2.0,32.0,26.0,58.0,D,2.0,23.0,35.0,58.0,D,2.0,26.0,25.0,51.0,A,3.7,30.0,57.0,87.0,D,2.0,22.0,37.0,59.0,B,3.0,32.0,45.0,77.0,,,,,,C+,2.7,29.0,44.0,73.0,A+,4.0,36.0,54.0,90.0,D,2.0,0.0,58.0,58.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C,2.4,31.0,34.0,65.0,D+,2.2,0.0,70.0,64.0,D,2.0,0.0,50.0,50.0,C,2.4,31.0,37.0,68.0,D+,2.2,27.0,33.0,60.0,A,3.7,38.0,48.0,86.0,D,2.0,32.0,18.0,50.0,C+,2.7,32.0,42.0,74.0,D,2.0,29.0,21.0,50.0,2.61,2.39,Artificial Intelligence
49,C+,2.7,26.0,46.0,72.0,D,2.0,23.0,30.0,53.0,C+,2.7,36.0,37.0,73.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B,3.0,33.0,43.0,76.0,P,0.0,0.0,0.0,0.0,D,2.0,22.0,36.0,58.0,A,3.7,30.0,59.0,89.0,D+,2.2,27.0,37.0,64.0,B,3.0,33.0,44.0,77.0,,,,,,D+,2.2,31.0,32.0,63.0,C+,2.7,29.0,44.0,73.0,D+,2.2,3.0,60.0,63.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C,2.4,34.0,32.0,66.0,D,2.0,38.0,21.0,59.0,D,2.0,33.0,25.0,58.0,B+,3.3,37.0,44.0,81.0,D,2.0,29.0,23.0,52.0,C+,2.7,35.0,36.0,71.0,B,3.0,34.0,41.0,75.0,D,2.0,33.0,26.0,59.0,D,2.0,22.0,35.0,57.0,3.0,1.51,Information Technology
50,B,3.0,32.0,45.0,77.0,C+,2.7,27.0,45.0,72.0,A,3.7,39.0,49.0,88.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,A,3.7,37.0,51.0,88.0,P,0.0,0.0,0.0,0.0,A,3.7,37.0,50.0,87.0,B+,3.3,24.0,59.0,83.0,C+,2.7,28.0,44.0,72.0,A+,4.0,36.0,56.0,92.0,,,,,,A+,4.0,37.0,59.0,96.0,A+,4.0,37.0,56.0,93.0,C+,2.7,14.0,60.0,74.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,A+,4.0,40.0,51.0,91.0,C+,2.7,40.0,32.0,72.0,B+,3.3,39.0,42.0,81.0,A,3.7,36.0,52.0,88.0,A,3.7,35.0,52.0,87.0,A+,4.0,38.0,60.0,98.0,A+,4.0,40.0,60.0,100.0,A+,4.0,40.0,58.0,98.0,A+,4.0,35.0,57.0,92.0,3.55,2.56,Computer Science
51,B,3.0,32.0,46.0,78.0,B,3.0,31.0,44.0,75.0,B+,3.3,40.0,44.0,84.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C,2.4,33.0,33.0,66.0,P,0.0,0.0,0.0,0.0,C,2.4,39.0,30.0,69.0,B,3.0,20.0,59.0,79.0,C,2.4,30.0,36.0,66.0,B+,3.3,34.0,50.0,84.0,,,,,,C,2.4,28.0,40.0,68.0,A+,4.0,37.0,56.0,93.0,C+,2.7,12.0,60.0,72.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B,3.0,40.0,36.0,76.0,D+,2.2,0.0,80.0,64.0,D+,2.2,35.0,29.0,64.0,C+,2.7,29.0,43.0,72.0,B,3.0,33.0,43.0,76.0,B+,3.3,39.0,45.0,84.0,B+,3.3,40.0,41.0,81.0,A,3.7,36.0,49.0,85.0,D,2.0,30.0,28.0,58.0,3.01,2.7,Information Systems
52,B+,3.3,37.0,44.0,81.0,D,2.0,24.0,32.0,56.0,A,3.7,40.0,48.0,88.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C+,2.7,35.0,39.0,74.0,P,0.0,0.0,0.0,0.0,D,2.0,17.0,41.0,58.0,B,3.0,20.0,57.0,77.0,C,2.4,23.0,45.0,68.0,B+,3.3,35.0,48.0,83.0,,,,,,C,2.4,24.0,41.0,65.0,B+,3.3,33.0,50.0,83.0,C,2.4,8.0,60.0,68.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C,2.4,40.0,29.0,69.0,D,2.0,31.0,19.0,50.0,D,2.0,32.0,25.0,57.0,D,2.0,28.0,31.0,59.0,D,2.0,32.0,23.0,55.0,D,2.0,29.0,29.0,58.0,D,2.0,28.0,30.0,58.0,D,2.0,22.0,29.0,51.0,D,2.0,25.0,34.0,59.0,2.66,2.39,Artificial Intelligence
53,C+,2.7,25.0,46.0,71.0,C+,2.7,25.0,46.0,71.0,B,3.0,35.0,43.0,78.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C,2.4,29.0,36.0,65.0,P,0.0,0.0,0.0,0.0,D+,2.2,28.0,34.0,62.0,B+,3.3,24.0,59.0,83.0,C,2.4,24.0,45.0,69.0,B+,3.3,34.0,50.0,84.0,,,,,,C+,2.7,28.0,43.0,71.0,A+,4.0,36.0,54.0,90.0,B,3.0,19.0,60.0,79.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,D+,2.2,37.0,23.0,60.0,D+,2.2,0.0,75.0,64.0,D,2.0,29.0,29.0,58.0,C,2.4,29.0,39.0,68.0,D+,2.2,31.0,33.0,64.0,C+,2.7,37.0,36.0,73.0,B,3.0,33.0,46.0,79.0,D,2.0,31.0,19.0,50.0,D,2.0,27.0,30.0,57.0,2.62,2.39,Artificial Intelligence
54,D,2.0,28.0,26.0,54.0,D,2.0,26.0,30.0,56.0,C,2.4,33.0,32.0,65.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B,3.0,31.0,48.0,79.0,P,0.0,0.0,0.0,0.0,C+,2.7,40.0,30.0,70.0,B+,3.3,30.0,51.0,81.0,C+,2.7,24.0,46.0,70.0,B,3.0,34.0,42.0,76.0,,,,,,B,3.0,33.0,43.0,76.0,B+,3.3,33.0,50.0,83.0,C,2.4,7.0,60.0,67.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C,2.4,36.0,29.0,65.0,C,2.4,39.0,26.0,65.0,C+,2.7,33.0,40.0,73.0,B+,3.3,37.0,46.0,83.0,A,3.7,34.0,52.0,86.0,A+,4.0,40.0,60.0,100.0,A+,4.0,40.0,55.0,95.0,A+,4.0,38.0,52.0,90.0,C,2.4,36.0,32.0,68.0,3.0,2.7,Information Systems
55,A,3.7,38.0,51.0,89.0,C,2.4,28.0,37.0,65.0,B,3.0,40.0,39.0,79.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,A+,4.0,40.0,56.0,96.0,P,0.0,0.0,0.0,0.0,A+,4.0,39.0,53.0,92.0,A+,4.0,36.0,59.0,95.0,B,3.0,30.0,45.0,75.0,A,3.7,35.0,51.0,86.0,,,,,,B,3.0,29.0,50.0,79.0,A+,4.0,37.0,56.0,93.0,B,3.0,15.0,60.0,75.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B+,3.3,40.0,44.0,84.0,B+,3.3,40.0,41.0,81.0,A+,4.0,40.0,58.0,98.0,A+,4.0,39.0,55.0,94.0,A+,4.0,37.0,55.0,92.0,A+,4.0,40.0,52.0,92.0,A+,4.0,39.0,60.0,99.0,A+,4.0,39.0,59.0,98.0,A+,4.0,34.0,57.0,91.0,3.72,2.56,Computer Science
56,C+,2.7,33.0,37.0,70.0,C,2.4,32.0,36.0,68.0,B+,3.3,36.0,47.0,83.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C,2.4,29.0,37.0,66.0,P,0.0,0.0,0.0,0.0,C+,2.7,32.0,42.0,74.0,B+,3.3,22.0,59.0,81.0,C+,2.7,23.0,50.0,73.0,A+,4.0,37.0,59.0,96.0,,,,,,C,2.4,23.0,46.0,69.0,A+,4.0,38.0,57.0,95.0,C,2.4,7.0,60.0,67.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C+,2.7,40.0,32.0,72.0,D+,2.2,33.0,31.0,64.0,D+,2.2,0.0,90.0,64.0,B,3.0,32.0,45.0,77.0,B+,3.3,35.0,45.0,80.0,B,3.0,34.0,43.0,77.0,D+,2.2,28.0,33.0,61.0,D+,2.2,29.0,32.0,61.0,C,2.4,27.0,40.0,67.0,3.15,2.39,Artificial Intelligence
57,A,3.7,36.0,50.0,86.0,C+,2.7,27.0,45.0,72.0,B+,3.3,32.0,49.0,81.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B,3.0,35.0,40.0,75.0,P,0.0,0.0,0.0,0.0,C+,2.7,31.0,43.0,74.0,A+,4.0,36.0,56.0,92.0,C+,2.7,32.0,40.0,72.0,B+,3.3,35.0,45.0,80.0,,,,,,A+,4.0,38.0,59.0,97.0,B+,3.3,33.0,50.0,83.0,C,2.4,6.0,60.0,66.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B+,3.3,40.0,41.0,81.0,C,2.4,36.0,30.0,66.0,B,3.0,39.0,36.0,75.0,B+,3.3,37.0,47.0,84.0,A,3.7,37.0,48.0,85.0,B+,3.3,39.0,41.0,80.0,A,3.7,40.0,45.0,85.0,B,3.0,39.0,37.0,76.0,B+,3.3,35.0,46.0,81.0,3.28,2.56,Computer Science
58,C+,2.7,26.0,45.0,71.0,D+,2.2,35.0,27.0,62.0,P,0.0,0.0,0.0,0.0,B,3.0,36.0,39.0,75.0,P,0.0,0.0,0.0,0.0,D+,2.2,23.0,40.0,63.0,P,0.0,0.0,0.0,0.0,D+,2.2,25.0,36.0,61.0,B,3.0,20.0,59.0,79.0,C+,2.7,27.0,43.0,70.0,A+,4.0,36.0,54.0,90.0,,,,,,D,2.0,19.0,32.0,51.0,B,3.0,31.0,47.0,78.0,D+,2.2,3.0,60.0,63.0,P,0.0,0.0,0.0,0.0,D+,2.2,23.0,40.0,63.0,D,2.0,35.0,21.0,56.0,D+,2.2,40.0,22.0,62.0,C,2.4,35.0,34.0,69.0,D,2.0,24.0,35.0,59.0,D+,2.2,37.0,35.0,64.0,D,2.0,25.0,29.0,54.0,C+,2.7,34.0,36.0,70.0,D,2.0,32.0,19.0,51.0,D+,2.2,23.0,37.0,60.0,2.57,1.6,Operation Research & Decision Support
60,B+,3.3,36.0,46.0,82.0,B,3.0,33.0,42.0,75.0,B+,3.3,36.0,48.0,84.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B+,3.3,34.0,48.0,82.0,P,0.0,0.0,0.0,0.0,B+,3.3,37.0,46.0,83.0,B,3.0,22.0,57.0,79.0,B,3.0,31.0,46.0,77.0,B+,3.3,34.0,47.0,81.0,,,,,,C,2.4,25.0,44.0,69.0,C+,2.7,29.0,44.0,73.0,D+,2.2,3.0,60.0,63.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C+,2.7,40.0,32.0,72.0,B,3.0,37.0,41.0,78.0,C,2.4,40.0,27.0,67.0,C+,2.7,28.0,43.0,71.0,C+,2.7,31.0,40.0,71.0,C+,2.7,34.0,38.0,72.0,A+,4.0,34.0,58.0,92.0,B+,3.3,36.0,48.0,84.0,B,3.0,36.0,41.0,77.0,3.11,2.56,Computer Science
61,D,2.0,26.0,33.0,59.0,D,2.0,23.0,27.0,50.0,C,2.4,35.0,34.0,69.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,D+,2.2,18.0,42.0,60.0,P,0.0,0.0,0.0,0.0,C+,2.7,36.0,38.0,74.0,B+,3.3,30.0,51.0,81.0,C,2.4,28.0,41.0,69.0,B+,3.3,35.0,48.0,83.0,,,,,,C+,2.7,24.0,48.0,72.0,A,3.7,35.0,53.0,88.0,C+,2.7,13.0,60.0,73.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C,2.4,38.0,31.0,69.0,B,3.0,40.0,38.0,78.0,C,2.4,38.0,31.0,69.0,B+,3.3,34.0,47.0,81.0,B+,3.3,39.0,44.0,83.0,A+,4.0,38.0,58.0,96.0,A,3.7,34.0,52.0,86.0,A+,4.0,40.0,53.0,93.0,C+,2.7,29.0,43.0,72.0,2.96,2.39,Artificial Intelligence
62,D+,2.2,32.0,40.0,64.0,C+,2.7,32.0,40.0,72.0,P,0.0,0.0,0.0,0.0,B,3.0,38.0,38.0,76.0,P,0.0,0.0,0.0,0.0,A,3.7,37.0,48.0,85.0,P,0.0,0.0,0.0,0.0,D+,2.2,29.0,34.0,63.0,A,3.7,28.0,59.0,87.0,C+,2.7,25.0,45.0,70.0,A,3.7,36.0,53.0,89.0,,,,,,D,2.0,28.0,31.0,59.0,A+,4.0,36.0,54.0,90.0,C+,2.7,10.0,60.0,70.0,P,0.0,0.0,0.0,0.0,B+,3.3,29.0,52.0,81.0,C,2.4,37.0,29.0,66.0,D,2.0,39.0,18.0,57.0,D+,2.2,0.0,90.0,64.0,C+,2.7,27.0,47.0,74.0,D,2.0,27.0,31.0,58.0,D+,2.2,37.0,25.0,62.0,D,2.0,32.0,26.0,58.0,D,2.0,31.0,19.0,50.0,D,2.0,27.0,29.0,56.0,2.97,1.51,Information Technology
63,B,3.0,29.0,47.0,76.0,B,3.0,29.0,50.0,79.0,B,3.0,37.0,42.0,79.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C+,2.7,31.0,39.0,70.0,P,0.0,0.0,0.0,0.0,B+,3.3,39.0,43.0,82.0,A+,4.0,32.0,59.0,91.0,C+,2.7,30.0,41.0,71.0,B+,3.3,38.0,45.0,83.0,,,,,,A,3.7,36.0,50.0,86.0,A,3.7,35.0,52.0,87.0,D+,2.2,2.0,60.0,62.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B+,3.3,40.0,43.0,83.0,D+,2.2,40.0,24.0,64.0,C+,2.7,36.0,38.0,74.0,A,3.7,36.0,52.0,88.0,A,3.7,39.0,49.0,88.0,A+,4.0,39.0,51.0,90.0,A+,4.0,40.0,59.0,99.0,A+,4.0,40.0,50.0,90.0,D+,2.2,25.0,35.0,60.0,3.43,2.39,Artificial Intelligence
64,A+,4.0,38.0,54.0,92.0,C,2.4,29.0,39.0,68.0,A,3.7,40.0,49.0,89.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B+,3.3,34.0,50.0,84.0,P,0.0,0.0,0.0,0.0,B+,3.3,38.0,46.0,84.0,B,3.0,24.0,54.0,78.0,C+,2.7,27.0,46.0,73.0,A,3.7,35.0,53.0,88.0,,,,,,B,3.0,35.0,43.0,78.0,A,3.7,35.0,53.0,88.0,D+,2.2,4.0,60.0,64.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B+,3.3,40.0,41.0,81.0,C,2.4,40.0,29.0,69.0,A,3.7,38.0,48.0,86.0,A,3.7,34.0,53.0,87.0,C,2.4,32.0,37.0,69.0,B+,3.3,40.0,42.0,82.0,A,3.7,40.0,49.0,89.0,C+,2.7,32.0,41.0,73.0,A,3.7,36.0,49.0,85.0,3.44,2.56,Computer Science
65,B,3.0,33.0,46.0,79.0,C+,2.7,28.0,42.0,70.0,C+,2.7,38.0,34.0,72.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,D,2.0,17.0,36.0,53.0,P,0.0,0.0,0.0,0.0,D,2.0,29.0,24.0,53.0,B,3.0,22.0,54.0,76.0,D,2.0,24.0,33.0,57.0,B+,3.3,35.0,48.0,83.0,,,,,,D+,2.2,24.0,38.0,62.0,B+,3.3,33.0,50.0,83.0,D,2.0,0.0,59.0,59.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,C,2.4,37.0,29.0,66.0,D+,2.2,40.0,23.0,63.0,D+,2.2,39.0,22.0,61.0,B+,3.3,31.0,49.0,80.0,B+,3.3,34.0,46.0,80.0,A+,4.0,37.0,55.0,92.0,A,3.7,36.0,51.0,87.0,B+,3.3,34.0,47.0,81.0,D+,2.2,20.0,41.0,61.0,2.47,1.51,Information Technology
66,D+,2.2,36.0,49.0,64.0,B,3.0,33.0,45.0,78.0,P,0.0,0.0,0.0,0.0,C+,2.7,39.0,33.0,72.0,P,0.0,0.0,0.0,0.0,D+,2.2,27.0,35.0,62.0,P,0.0,0.0,0.0,0.0,C,2.4,29.0,36.0,65.0,A,3.7,30.0,59.0,89.0,C,2.4,23.0,43.0,66.0,A,3.7,34.0,54.0,88.0,,,,,,C,2.4,18.0,51.0,69.0,A,3.7,34.0,51.0,85.0,C,2.4,6.0,60.0,66.0,P,0.0,0.0,0.0,0.0,C,2.4,28.0,38.0,66.0,D+,2.2,34.0,30.0,64.0,D+,2.2,39.0,21.0,60.0,B,3.0,36.0,40.0,76.0,B+,3.3,32.0,48.0,80.0,C,2.4,33.0,33.0,66.0,A,3.7,35.0,54.0,89.0,A+,4.0,38.0,53.0,91.0,C+,2.7,30.0,40.0,70.0,C+,2.7,34.0,36.0,70.0,2.86,2.39,Artificial Intelligence
67,A,3.7,34.0,54.0,88.0,C+,2.7,29.0,43.0,72.0,A+,4.0,38.0,54.0,92.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,A,3.7,36.0,51.0,87.0,P,0.0,0.0,0.0,0.0,B,3.0,40.0,36.0,76.0,A,3.7,28.0,59.0,87.0,D+,2.2,26.0,37.0,63.0,A,3.7,36.0,51.0,87.0,,,,,,D+,2.2,26.0,34.0,60.0,A,3.7,34.0,51.0,85.0,C,2.4,9.0,60.0,69.0,P,0.0,0.0,0.0,0.0,P,0.0,0.0,0.0,0.0,B,3.0,40.0,37.0,77.0,D+,2.2,40.0,20.0,60.0,B,3.0,34.0,41.0,75.0,A,3.7,35.0,52.0,87.0,C+,2.7,35.0,36.0,71.0,A+,4.0,39.0,52.0,91.0,B,3.0,32.0,47.0,79.0,C,2.4,35.0,34.0,69.0,B,3.0,34.0,45.0,79.0,3.31,2.39,Artificial Intelligence
